RE-3_R3_CH28_B	10.0398	221.814	86.9563	9.59981	1.01239	2.27E+014	85.991
RE-3_R3_CH28_C	9.88893	285.266	96.8903	9.47893	0.925445	1.65805	96.1215
RE-3_R2_CH17_A	9.82092	243.941	93.8692	9.38092	2.02949	1.74314	92.9104
RE-3_R2_CH17_B	9.73122	295.137	90.4864	9.35122	0.427016	1.76275	89.8549
RE-3_R3_CH17_A	9.82598	222.966	91.5446	9.36598	1.0629	1.52628	90.5202
RE-3_R3_CH17_B	9.77169	311.361	92.7008	9.40169	2.50035	1.33408	92.0622
RE-3_R3_CH17_C	9.76935	314.105	93.1734	9.39935	1.12269	1.44887	92.5432
RE-3_R2_CH23_A	9.75706	301.153	94.045	9.37706	2.82536	1.75464	93.327
RE-3_R2_CH23_B	9.6974	272.045	95.4862	9.2874	2.19415	2.04038	94.6018
RE-3_R3_CH23_A	9.91775	218.302	86.8979	9.46775	0.647635	1.35547	85.9636
RE-3_R3_CH23_B	9.81983	312.53	96.5712	9.43983	1.61707	4.93E+010	95.8708
RE-3_R3_CH23_C	9.8559	264.157	89.1194	9.4559	1.58802	1.33524	88.3493
RE-3_R2_CH29_A	9.81027	296.526	98.1596	9.41027	0.686798	1.74772	97.3844
RE-3_R2_CH29_B	9.92237	239.597	91.79	9.48237	0.557851	2.00594	90.8712
RE-3_R3_CH29_A	9.97985	245.706	91.3258	9.54985	0.534935	5.51E+009	90.4414
RE-3_R3_CH29_B	9.92098	293.007	97.0409	9.52098	1.52624	-2.66E+007	96.2728
RE-3_R3_CH29_C	9.90179	293.12	95.9665	9.50179	1.22435	1.53775	95.248
RE-3_R2_CH18_A	9.80753	212.198	93.6215	9.32753	1.54533	1.98481	92.4306
RE-3_R2_CH18_B	9.8016	187.503	75.6435	9.3516	2.45101	1.89314	74.7805
RE-3_R3_CH18_A	9.78765	214.211	80.4458	9.35765	1.87902	1.44641	79.6293
RE-3_R3_CH18_B	9.82311	288.931	92.6998	9.43311	3.22932	1.47853	91.9885
RE-3_R3_CH18_C	9.76124	311.883	97.3393	9.38124	1.81431	1.5531	96.5982
RE-3_R2_CH24_A	9.75717	275.534	92.326	9.35717	1.57271	1.68641	91.5534
RE-3_R2_CH24_B	9.78163	318.059	95.771	9.40163	1.74554	1.86585	95.1598
RE-3_R3_CH24_A	9.89463	201.851	75.3161	9.46463	1.78145	1.49579	74.5737
RE-3_R3_CH24_B	9.93757	257.97	95.2375	9.50757	0.690391	1.71419	94.3435
RE-3_R3_CH24_C	9.7984	310.987	98.6184	9.4084	1.4135	1.52689	97.9033
RE-3_R2_CH30_A	9.86899	279.69	93.3457	9.46899	0.221155	1.68952	92.5792
RE-3_R2_CH30_B	9.96802	256.721	96.9283	9.53802	0.308926	3.06E+015	95.9203
RE-3_R3_CH30_A	10.1264	179.045	108.991	9.52637	2.19823	1.89487	106.917
RE-3_R3_CH30_B	10.1031	201.617	91.6256	9.61312	1.31195	1.5346	90.4145
RE-3_R3_CH30_C	9.96483	249.183	96.0656	9.52483	2.2314	1.74156	95.0761
RE-2_R2_CH13_A	9.65787	261.955	97.311	9.22787	2.14114	1.96128	96.3711
RE-2_R2_CH13_B	9.65593	295.704	96.7759	9.25593	0.96126	2.14207	96.0526
RE-2_R2_CH13_C	9.60633	341.846	98.7462	9.23633	2.45872	2.18316	98.1616
RE-2_R3_CH13_B	9.7186	280.137	94.8763	9.3186	1.20459	1.74841	94.0414
RE-2_R3_CH13_C	9.69247	262.929	94.8338	9.27247	1.12502	1.60828	93.9426
RE-2_R2_CH19_A	9.68724	251.502	97.7285	9.24724	2.20124	2.52578	96.6855
RE-2_R2_CH19_B	9.64116	289.508	96.1547	9.24116	2.4814	2.41323	95.3832
RE-2_R2_CH19_C	9.64221	238.602	99.4203	9.18221	6.70874	2.67177	98.2332
RE-2_R3_CH19_B	9.73775	293.456	96.3569	9.33775	2.70585	1.68031	95.6252
RE-2_R3_CH19_C	9.7026	245.657	96.7278	9.2626	1.08002	1.7665	95.6329
RE-2_R2_CH25_A	9.75295	214.291	98.5595	9.26295	0.551121	2.17092	97.189
RE-2_R2_CH25_B	9.67784	280.707	96.1014	9.26784	0.436133	2.13525	95.3094
RE-2_R2_CH25_C	9.65387	243.98	99.0168	9.20387	3.99933	2.59094	97.857
RE-2_R3_CH25_B	9.7403	323.56	93.7337	9.3703	3.11313	1.44435	93.1707
RE-2_R3_CH25_C	9.68842	301.723	97.2622	9.29842	1.34206	1.53298	96.4987
RE-2_R2_CH14_A	9.68569	294.226	98.7164	9.28569	0.77424	2.09194	97.8853
